id,title,overview,genres,keywords,director,cast,release_year,rating,runtime,budget,revenue
124,Heart of Wild,A journey through nature where factual leads to factual and beyond.,Drama Documentary,emotional factual tragedy nature,Ryan Coogler,Margot Robbie Natalie Portman Jennifer Lawrence Cate Blanchett Emma Stone Christian Bale,2019,5.3,178,194018590.0,1388779453.0
125,The Storm Story,An epic tale of children featuring children and unexpected jazz.,Family Music Western,dance children adventure gunfight jazz,Wes Anderson,Brad Pitt Lupita Nyong'o Natalie Portman Robert Downey Jr.,1995,5.6,129,196690681.0,1574736637.0
126,The Silver Affair,The story follows a hero dealing with dating while facing dating and heartbreak.,Romance,heartbreak dating,Kathryn Bigelow,Christian Bale Angelina Jolie Ryan Gosling Margot Robbie Michael Fassbender Leonardo DiCaprio,1997,9.1,132,104888102.0,1600878070.0
127,Love in Crystal,A journey through dating where dating leads to passion and beyond.,Romance,dating passion,James Cameron,Leonardo DiCaprio Ryan Gosling Angelina Jolie Margot Robbie Matt Damon,2019,5.9,172,43242187.0,
128,Fire Files,A journey through love where heist leads to murder and beyond.,Crime Romance Music,dance heist marriage love singing,Wes Anderson,Angelina Jolie Matt Damon Margot Robbie Oscar Isaac Amy Adams,2000,5.1,174,171269123.0,
129,Mission: Silver,"When fight meets fight, they must overcome fight to save the day.",Action,fight hero,Chloé Zhao,Christian Bale Lupita Nyong'o Oscar Isaac Natalie Portman,2001,3.3,158,180409447.0,
130,The Secret Conspiracy,An epic tale of adventure featuring tension and unexpected adventure.,Thriller Horror Family,tension conspiracy fear adventure haunted,Ari Aster,Emma Stone Tom Hanks Natalie Portman Oscar Isaac Ryan Gosling,2011,4.2,168,153594792.0,1797431731.0
131,The Secret Story,A thrilling story about saloon and horses in a world of horses.,Western,saloon horses,Ridley Scott,Michael Fassbender Will Smith Cate Blanchett Natalie Portman Robert Downey Jr.,2002,8.3,112,190010237.0,
132,The Secret Story,A thrilling story about singing and hero in a world of singing.,Music Action,combat musical singing hero,Wes Anderson,Angelina Jolie Oscar Isaac Michael Fassbender Margot Robbie Jennifer Lawrence,1999,6.2,102,126247079.0,
133,The Silver Story,"When factual meets biography, they must overcome learning to save the day.",Family Documentary Science Fiction,adventure biography space learning technology,James Cameron,Amy Adams Tom Hanks Leonardo DiCaprio,2008,4.6,99,49593189.0,1413472873.0
134,Mission: Bright,"When exploration meets exploration, they must overcome combat to save the day.",Action Romance Adventure,fight marriage combat heartbreak discovery,Ari Aster,Matt Damon Natalie Portman Meryl Streep Lupita Nyong'o Amy Adams Emma Stone,2002,3.4,166,192890926.0,417555544.0
135,Dark Bright,A thrilling story about criminal and criminal in a world of unknown.,Crime Mystery,heist criminal detective unknown,Coen Brothers,Amy Adams Robert Downey Jr. Natalie Portman Angelina Jolie Will Smith,2008,5.1,137,187275608.0,665733189.0
136,The Golden Protocol,An epic tale of chase featuring chase and unexpected chase.,Action,weapons chase,Ryan Coogler,Oscar Isaac Margot Robbie Emma Stone Meryl Streep,1993,9.0,150,,1340223310.0
137,The Bright Code,"When historical meets biography, they must overcome historical to save the day.",Thriller History,edge historical biography psychological,Martin Scorsese,Natalie Portman Amy Adams Leonardo DiCaprio Matt Damon Angelina Jolie Meryl Streep,1996,4.4,80,33185792.0,1905592053.0
138,The Ancient Story,A journey through horses where cowboys leads to cowboys and beyond.,Western,horses cowboys,Tim Burton,Brad Pitt Scarlett Johansson Robert Downey Jr. Will Smith,2011,5.2,154,142483824.0,
139,Battle of Bright,The story follows a hero dealing with sheriff while facing battle and sheriff.,War Western Thriller,psychological conspiracy sheriff victory horses,Denis Villeneuve,Emma Stone Amy Adams Meryl Streep Scarlett Johansson Tom Hanks,2005,7.7,83,169355574.0,1450621163.0
140,Return of Secret,"When monster meets fear, they must overcome fear to save the day.",Horror,fear monster,Coen Brothers,Will Smith Jennifer Lawrence Angelina Jolie,1992,4.4,139,45367543.0,1882977534.0
141,Midnight Secret,A journey through aliens where robots leads to danger and beyond.,Thriller Science Fiction,aliens danger suspense robots,Martin Scorsese,Ryan Gosling Jennifer Lawrence Meryl Streep Lupita Nyong'o Oscar Isaac,2010,4.1,84,,1055085511.0
142,The Fire Story,An epic tale of battle featuring soldiers and unexpected dystopia.,Mystery War Science Fiction,battle dystopia clues soldiers detective,Christopher Nolan,Scarlett Johansson Leonardo DiCaprio Robert Downey Jr. Meryl Streep,2001,5.5,121,133443426.0,838512976.0
143,The Secret Story,"When wedding meets revolution, they must overcome relationship to save the day.",History War Romance,war battle relationship revolution victory,Kathryn Bigelow,Meryl Streep Leonardo DiCaprio Matt Damon Amy Adams Scarlett Johansson Tom Hanks,2015,8.7,103,134218314.0,
144,The Fire Story,A journey through dance where conflict leads to dance and beyond.,Music War,jazz battle dance conflict,Tim Burton,Will Smith Tom Hanks Lupita Nyong'o Ryan Gosling,1993,3.4,163,183826862.0,313603355.0
145,The Bright Story,A thrilling story about war and war in a world of war.,History,war revolution,Quentin Tarantino,Cate Blanchett Emma Stone Matt Damon,2001,7.7,140,38748997.0,1299866083.0
146,The Crystal Story,A journey through biography where biography leads to period piece and beyond.,History,period piece biography,Quentin Tarantino,Amy Adams Angelina Jolie Brad Pitt Will Smith Scarlett Johansson Ryan Gosling,2009,7.8,178,71112773.0,
147,Quest for Crystal,"When quest meets children, they must overcome quest to save the day.",Adventure Family,learning quest children exploration,Wes Anderson,Meryl Streep Cate Blanchett Brad Pitt Leonardo DiCaprio Oscar Isaac,1991,6.7,148,134426706.0,746266285.0
148,The Shadow Matrix,A thrilling story about sacrifice and dystopia in a world of unknown.,Science Fiction War Mystery,unknown time travel military clues sacrifice,Jordan Peele,Emma Stone Christian Bale Michael Fassbender Scarlett Johansson,2005,4.9,176,186721916.0,1842661699.0
149,Future Shadow,A thrilling story about supernatural and dystopia in a world of supernatural.,Science Fiction Fantasy,time travel supernatural mythical dystopia,James Cameron,Leonardo DiCaprio Brad Pitt Matt Damon Angelina Jolie Michael Fassbender,2015,7.4,158,,1733414892.0
150,The Dark Story,A journey through detective where military leads to ancient and beyond.,History War Mystery,sacrifice military detective puzzle ancient,Greta Gerwig,Ryan Gosling Cate Blanchett Natalie Portman Scarlett Johansson,2018,8.5,130,170935913.0,1135759995.0
151,The Ancient Story,The story follows a hero dealing with revolution while facing revolution and war.,History,revolution war,David Fincher,Natalie Portman Margot Robbie Robert Downey Jr. Christian Bale Oscar Isaac Will Smith,1995,6.8,169,80309509.0,
152,The Ancient Prophecy,A thrilling story about mythical and journey in a world of journey.,Fantasy Adventure,quest mythical wizards journey,Tim Burton,Michael Fassbender Brad Pitt Amy Adams Leonardo DiCaprio Robert Downey Jr. Lupita Nyong'o,2006,8.9,128,,
153,Operation Wild,An epic tale of combat featuring combat and unexpected chase.,Action,combat chase,Denis Villeneuve,Michael Fassbender Matt Damon Will Smith Robert Downey Jr. Lupita Nyong'o Brad Pitt,2023,8.8,130,,113585182.0
154,The Crystal Story,A journey through cowboys where desert leads to cowboys and beyond.,Western,desert cowboys,Greta Gerwig,Brad Pitt Will Smith Emma Stone Michael Fassbender,2013,5.3,88,,1024904261.0
155,Magic of Fire,A journey through talking animals where talking animals leads to family and beyond.,Animation Family,talking animals adventure children family,Paul Thomas Anderson,Scarlett Johansson Meryl Streep Lupita Nyong'o Michael Fassbender,2004,6.0,132,23677658.0,1307366058.0
156,The Crystal Story,A journey through corruption where learning leads to criminal and beyond.,Family Documentary Crime,biography learning corruption criminal values,Ridley Scott,Cate Blanchett Amy Adams Margot Robbie Jennifer Lawrence,1996,6.2,136,89928174.0,394105495.0
157,The Silver Story,A thrilling story about exotic and exploration in a world of criminal.,Documentary Crime Adventure,truth exploration exotic detective biography,Wes Anderson,Christian Bale Scarlett Johansson Ryan Gosling,2018,4.3,165,187376469.0,
158,Life of Dark,The story follows a hero dealing with fight while facing villain and family.,Comedy Animation Action,satire villain colorful romantic comedy fight,Coen Brothers,Angelina Jolie Cate Blanchett Ryan Gosling Margot Robbie Brad Pitt Natalie Portman,1990,4.5,122,129544715.0,
159,The Dark Horror,A journey through monster where rescue leads to weapons and beyond.,Horror History Action,fear revolution ancient monster rescue,Christopher Nolan,Natalie Portman Cate Blanchett Lupita Nyong'o Christian Bale,2023,8.6,161,23247483.0,608533237.0
160,Legends of Crystal,The story follows a hero dealing with tension while facing relationships and tragedy.,Fantasy Drama Thriller,tension edge relationships wizards tragedy,Christopher Nolan,Lupita Nyong'o Robert Downey Jr. Angelina Jolie,2004,5.4,85,120065707.0,547848737.0
161,The Secret Story,An epic tale of scary featuring scary and unexpected supernatural.,Music Family Horror,jazz supernatural classical scary friendship,Greta Gerwig,Oscar Isaac Robert Downey Jr. Angelina Jolie,2008,7.0,172,84346244.0,183514424.0
162,Rise of Secret,An epic tale of villain featuring villain and unexpected marriage.,Action Romance,rescue villain passion marriage,Quentin Tarantino,Angelina Jolie Amy Adams Robert Downey Jr. Jennifer Lawrence,2000,9.4,91,,181279909.0
163,The Silver Story,An epic tale of desert featuring dragons and unexpected journey.,Western Adventure Fantasy,treasure dragons magic journey gunfight,Kathryn Bigelow,Meryl Streep Emma Stone Brad Pitt Michael Fassbender,2017,8.0,88,,1448936139.0
164,The Wild Story,A journey through investigation where unknown leads to investigation and beyond.,Mystery Horror,scary monster unknown investigation,Paul Thomas Anderson,Leonardo DiCaprio Robert Downey Jr. Margot Robbie Oscar Isaac Amy Adams,1990,8.4,161,166411341.0,
165,The Bright Story,"When humor meets humor, they must overcome funny to save the day.",Family Comedy Documentary,interview humor children funny nature,David Fincher,Christian Bale Matt Damon Amy Adams,2020,3.7,115,,1285352440.0
166,The Storm Story,"When wholesome meets adventure, they must overcome adventure to save the day.",Family,wholesome adventure,James Cameron,Scarlett Johansson Emma Stone Matt Damon Angelina Jolie Leonardo DiCaprio,2003,9.1,108,,1797970952.0
167,The Shadow Show,A journey through romantic comedy where sacrifice leads to battle and beyond.,Comedy Adventure War,quest romantic comedy sacrifice satire treasure,Paul Thomas Anderson,Robert Downey Jr. Jennifer Lawrence Angelina Jolie,2009,8.6,154,131376739.0,906131430.0
168,Operation Fire,A thrilling story about talking animals and chase in a world of weapons.,Action Animation,weapons talking animals chase fairy tale,David Fincher,Oscar Isaac Margot Robbie Natalie Portman Lupita Nyong'o Robert Downey Jr. Brad Pitt,2000,3.4,120,22026808.0,1328451851.0
169,Blood Crystal,A journey through technology where detective leads to space and beyond.,Crime Science Fiction,technology detective criminal space,Coen Brothers,Lupita Nyong'o Christian Bale Amy Adams Margot Robbie Cate Blanchett,2023,9.4,139,101259766.0,
170,The Secret Story,A journey through chase where desert leads to chase and beyond.,Western Thriller,chase gunfight suspense desert,Greta Gerwig,Michael Fassbender Brad Pitt Robert Downey Jr. Scarlett Johansson Oscar Isaac Amy Adams,2019,8.4,115,83934210.0,
171,The Wild Story,The story follows a hero dealing with real life while facing detective and puzzle.,Family Mystery Documentary,real life puzzle biography detective wholesome,Wes Anderson,Lupita Nyong'o Jennifer Lawrence Tom Hanks,2009,6.8,174,36683715.0,
172,The Golden Story,The story follows a hero dealing with family while facing jazz and family.,Music Drama History,biography family dance jazz tragedy,David Fincher,Jennifer Lawrence Cate Blanchett Matt Damon Lupita Nyong'o Meryl Streep Emma Stone,2016,5.7,125,85103419.0,533675605.0
173,The Secret Story,An epic tale of clues featuring character study and unexpected investigation.,Mystery Drama,clues investigation relationships character study,Wes Anderson,Emma Stone Meryl Streep Lupita Nyong'o Natalie Portman,2001,7.9,178,184648004.0,466445042.0
174,Star Silent,"When space meets corruption, they must overcome heist to save the day.",Science Fiction Crime,time travel space corruption heist,Denis Villeneuve,Scarlett Johansson Christian Bale Angelina Jolie Michael Fassbender Amy Adams,2015,7.0,90,191415415.0,1245590503.0
175,Magic of Wild,"When love meets space, they must overcome love to save the day.",Animation Science Fiction Romance,space aliens colorful love fairy tale,Christopher Nolan,Matt Damon Christian Bale Margot Robbie Emma Stone Brad Pitt Lupita Nyong'o,2022,9.0,149,153412924.0,566242302.0
176,The Golden Story,"When scary meets historical, they must overcome haunted to save the day.",History Horror,haunted scary historical revolution,Ridley Scott,Emma Stone Scarlett Johansson Angelina Jolie Lupita Nyong'o Cate Blanchett Brad Pitt,2014,9.1,99,12836066.0,1719688036.0
177,Finding Fire,An epic tale of wholesome featuring twist and unexpected wholesome.,Romance Family Mystery,values wedding twist love secret,Ryan Coogler,Brad Pitt Natalie Portman Lupita Nyong'o Christian Bale Robert Downey Jr. Scarlett Johansson,2015,5.6,139,,1494168925.0
178,Edge of Ancient,"When psychological meets haunted, they must overcome marriage to save the day.",Thriller Horror Romance,haunted suspense ghost heartbreak psychological,Steven Spielberg,Jennifer Lawrence Tom Hanks Will Smith Christian Bale Matt Damon Michael Fassbender,2024,6.5,178,25372439.0,1698295299.0
179,The Storm Story,The story follows a hero dealing with jazz while facing revolution and love.,Music Romance History,rock love revolution period piece passion,Jordan Peele,Amy Adams Leonardo DiCaprio Will Smith,2020,3.2,128,125175105.0,1944664022.0
180,The Golden Curse,"When haunted meets fear, they must overcome fear to save the day.",Horror,haunted fear,Quentin Tarantino,Margot Robbie Ryan Gosling Robert Downey Jr. Will Smith Matt Damon Christian Bale,1999,9.1,120,113220045.0,30990172.0
181,The Shadow Chronicles,A journey through coming of age where discovery leads to coming of age and beyond.,Drama Adventure Science Fiction,discovery tragedy coming of age time travel aliens,Ari Aster,Margot Robbie Scarlett Johansson Amy Adams Cate Blanchett,2021,5.3,129,123951249.0,84299704.0
182,Dark Bright,An epic tale of corruption featuring detective and unexpected silly.,Crime Fantasy Comedy,silly corruption romantic comedy wizards detective,Coen Brothers,Emma Stone Oscar Isaac Margot Robbie Christian Bale Michael Fassbender,2014,4.5,138,160578977.0,244274144.0
183,Magic of Wild,An epic tale of murder featuring criminal and unexpected murder.,Animation Crime,talking animals colorful murder criminal,Chloé Zhao,Michael Fassbender Leonardo DiCaprio Angelina Jolie Oscar Isaac Natalie Portman Brad Pitt,2005,8.5,133,77920780.0,852747410.0
184,The Bright Connection,A journey through learning where friendship leads to silly and beyond.,Crime Family Comedy,silly parody police learning corruption,Christopher Nolan,Margot Robbie Cate Blanchett Angelina Jolie,2010,8.0,160,149663169.0,299267147.0
185,Victory at Shadow,An epic tale of factual featuring conflict and unexpected truth.,War Documentary,truth sacrifice factual conflict,Greta Gerwig,Christian Bale Leonardo DiCaprio Oscar Isaac,2023,4.7,136,40342909.0,1603194411.0
186,The Dark Game,A journey through cowboys where gunfight leads to explosion and beyond.,Thriller Action Western,explosion danger villain cowboys chase,Jordan Peele,Ryan Gosling Jennifer Lawrence Scarlett Johansson Michael Fassbender,2006,4.9,86,121632231.0,464168924.0
187,Night of Wild,The story follows a hero dealing with puzzle while facing saloon and scary.,Horror Western Mystery,scary puzzle saloon secret haunted,Coen Brothers,Amy Adams Michael Fassbender Christian Bale Cate Blanchett Margot Robbie Meryl Streep,2020,7.4,139,150615913.0,
188,Finding Fire,A thrilling story about combat and villain in a world of tragedy.,Drama Action,villain emotional combat tragedy,Greta Gerwig,Michael Fassbender Will Smith Jennifer Lawrence,1992,9.3,97,,142362541.0
189,Journey to Shadow,"When exotic meets exotic, they must overcome treasure to save the day.",Adventure,exotic treasure,Kathryn Bigelow,Lupita Nyong'o Margot Robbie Will Smith Ryan Gosling Matt Damon,2003,3.3,126,119711925.0,484599088.0
190,Quest for Bright,"When hero meets laugh, they must overcome villain to save the day.",Adventure Action Comedy,laugh hero quest survival villain,Quentin Tarantino,Jennifer Lawrence Ryan Gosling Robert Downey Jr. Natalie Portman,2021,5.6,180,40064690.0,999602586.0
191,The Golden Story,An epic tale of historical featuring biography and unexpected wholesome.,History Family War,biography values wholesome sacrifice historical,Quentin Tarantino,Scarlett Johansson Lupita Nyong'o Will Smith Tom Hanks Margot Robbie,2003,5.4,96,46137366.0,1634412277.0
192,The Storm Story,A journey through children where adventure leads to relationship and beyond.,Family Romance,passion relationship children adventure,Ryan Coogler,Lupita Nyong'o Angelina Jolie Natalie Portman Matt Damon Emma Stone Meryl Streep,2009,7.2,174,87167572.0,211626784.0
193,The Silent Story,An epic tale of adventure featuring values and unexpected discovery.,Family History Adventure,historical adventure war survival discovery,Ridley Scott,Emma Stone Angelina Jolie Scarlett Johansson Christian Bale,1995,7.3,179,,1491720077.0
194,Midnight Secret,A thrilling story about tension and prophecy in a world of musical.,Thriller Music Fantasy,tension dragons prophecy classical musical,Tim Burton,Natalie Portman Lupita Nyong'o Angelina Jolie Emma Stone,1994,6.5,123,13999843.0,1045364788.0
195,The Crystal Matrix,A thrilling story about love and future in a world of future.,Science Fiction Romance,love wedding future dystopia,Jordan Peele,Natalie Portman Cate Blanchett Brad Pitt Meryl Streep Scarlett Johansson Tom Hanks,2008,7.3,159,41726592.0,1825008666.0
196,Midnight Secret,The story follows a hero dealing with edge while facing edge and psychological.,Thriller History,edge revolution period piece psychological,Tim Burton,Amy Adams Robert Downey Jr. Ryan Gosling,1992,4.7,125,118537736.0,
197,The Ancient Adventure,"When cartoon meets family, they must overcome cartoon to save the day.",Animation Romance,passion cartoon family relationship,Wes Anderson,Angelina Jolie Emma Stone Robert Downey Jr. Brad Pitt,1993,5.8,111,,
198,The Silent Nightmare,The story follows a hero dealing with biography while facing children and scary.,Horror History Family,supernatural scary wholesome biography children,Greta Gerwig,Christian Bale Ryan Gosling Natalie Portman Angelina Jolie,2024,8.7,135,,1687533360.0
199,Realm of Bright,The story follows a hero dealing with dance while facing dance and character study.,Fantasy Drama Music,supernatural coming of age classical character study dance,Kathryn Bigelow,Amy Adams Leonardo DiCaprio Oscar Isaac,2022,4.4,87,76573162.0,1122801647.0
200,The Shadow Kingdom,An epic tale of wizards featuring dragons and unexpected wizards.,Fantasy,dragons wizards,Coen Brothers,Meryl Streep Christian Bale Natalie Portman Angelina Jolie Emma Stone Margot Robbie,2011,8.1,154,,
201,The Secret Kingdom,A journey through prophecy where medieval leads to haunted and beyond.,Fantasy Horror,haunted medieval ghost prophecy,Tim Burton,Leonardo DiCaprio Jennifer Lawrence Christian Bale Natalie Portman Matt Damon,2023,8.8,121,124001531.0,1231773911.0
202,Wild Files,A journey through prophecy where children leads to children and beyond.,Crime Family Fantasy,investigation wholesome prophecy magic heist,Tim Burton,Brad Pitt Matt Damon Michael Fassbender,2011,8.5,101,92509447.0,1975372537.0
203,The Dark Horror,A journey through saloon where saloon leads to emotional and beyond.,Horror Drama Western,frontier fear coming of age emotional supernatural,Ryan Coogler,Will Smith Christian Bale Margot Robbie Tom Hanks Lupita Nyong'o Scarlett Johansson,2013,8.2,137,22583273.0,1231623100.0
204,Night of Dark,A thrilling story about supernatural and conflict in a world of fear.,Horror War Animation,supernatural military colorful magical conflict,Coen Brothers,Robert Downey Jr. Angelina Jolie Lupita Nyong'o Scarlett Johansson,2007,4.7,164,6695602.0,1306394969.0
205,Legends of Fire,"When period piece meets revolution, they must overcome magic to save the day.",Fantasy History,magic medieval revolution period piece,James Cameron,Jennifer Lawrence Michael Fassbender Christian Bale Meryl Streep Lupita Nyong'o Amy Adams,1999,7.1,134,,691486133.0
206,Legends of Crystal,A thrilling story about prophecy and survival in a world of survival.,Fantasy Adventure Western,exotic survival prophecy desert magic,Denis Villeneuve,Oscar Isaac Brad Pitt Matt Damon Meryl Streep Ryan Gosling,2004,7.8,80,189975583.0,1987620486.0
207,Realm of Dark,A thrilling story about mythical and medieval in a world of mythical.,Fantasy,mythical medieval,Jordan Peele,Michael Fassbender Robert Downey Jr. Christian Bale Oscar Isaac,2009,6.7,113,,406921367.0
208,Fire Files,A journey through corruption where criminal leads to corruption and beyond.,Crime,criminal corruption,Greta Gerwig,Brad Pitt Robert Downey Jr. Cate Blanchett,1997,7.6,160,115976928.0,736327590.0
209,Love in Silver,"When love meets exploration, they must overcome survival to save the day.",Romance Family Adventure,love survival exploration heartbreak friendship,James Cameron,Robert Downey Jr. Cate Blanchett Amy Adams,2006,5.1,127,76124974.0,226918786.0
210,The Ancient Story,An epic tale of history featuring history and unexpected biography.,Documentary,biography history,Quentin Tarantino,Oscar Isaac Amy Adams Robert Downey Jr.,2011,7.7,144,193962189.0,1137698465.0
211,The Golden Story,A thrilling story about future and clues in a world of robots.,Mystery Science Fiction Adventure,detective survival future clues robots,David Fincher,Lupita Nyong'o Angelina Jolie Ryan Gosling,2021,6.1,154,105454982.0,934025831.0
212,Edge of Wild,An epic tale of chase featuring danger and unexpected chase.,Thriller,danger chase,Chloé Zhao,Michael Fassbender Scarlett Johansson Christian Bale Matt Damon Robert Downey Jr. Oscar Isaac,2024,3.4,120,139138126.0,
213,The Secret Matrix,The story follows a hero dealing with robots while facing values and learning.,Science Fiction Family,robots values learning technology,David Fincher,Emma Stone Angelina Jolie Lupita Nyong'o Margot Robbie Meryl Streep,1991,7.8,129,172992658.0,96128011.0
214,The Golden Story,A journey through military where military leads to children and beyond.,Family War,children victory learning military,Jordan Peele,Natalie Portman Scarlett Johansson Christian Bale Jennifer Lawrence,2021,5.9,107,,1565002683.0
215,The Ancient Story,An epic tale of survival featuring journey and unexpected satire.,Drama Comedy Adventure,survival journey relationships satire emotional,Greta Gerwig,Robert Downey Jr. Matt Damon Brad Pitt Oscar Isaac Meryl Streep Margot Robbie,2002,4.6,80,132682494.0,324657098.0
216,The Bright Conspiracy,An epic tale of gunfight featuring gunfight and unexpected psychological.,Thriller Western Mystery,gunfight psychological horses secret chase,Ari Aster,Amy Adams Ryan Gosling Brad Pitt Will Smith,1997,8.3,136,97243219.0,1309233859.0
217,The Bright Story,A journey through saloon where frontier leads to saloon and beyond.,Western,frontier saloon,Chloé Zhao,Amy Adams Cate Blanchett Robert Downey Jr. Meryl Streep Brad Pitt,2001,5.4,103,107095571.0,
218,The Silver Story,The story follows a hero dealing with ancient while facing ancient and ancient.,History,historical ancient,David Fincher,Robert Downey Jr. Lupita Nyong'o Will Smith Emma Stone,1998,8.5,155,79087906.0,953695116.0
219,The Ancient Story,A journey through ancient where biography leads to ancient and beyond.,History,ancient biography,Steven Spielberg,Scarlett Johansson Meryl Streep Natalie Portman Angelina Jolie,2018,6.3,128,,
220,The Ancient Curse,An epic tale of romantic comedy featuring edge and unexpected romantic comedy.,Horror Comedy Thriller,danger fear funny edge romantic comedy,Steven Spielberg,Lupita Nyong'o Oscar Isaac Angelina Jolie,1996,3.6,175,165946450.0,1796028594.0
221,The Ancient Story,A journey through historical where period piece leads to period piece and beyond.,History,historical period piece,Ryan Coogler,Michael Fassbender Tom Hanks Jennifer Lawrence,2010,6.8,127,8459044.0,
222,The Shadow Story,The story follows a hero dealing with desert while facing dance and concert.,Music Drama Western,emotional dance desert tragedy concert,Quentin Tarantino,Brad Pitt Cate Blanchett Michael Fassbender Amy Adams Matt Damon Lupita Nyong'o,2001,6.8,161,124219287.0,278697349.0
223,The Fire Curse,A journey through haunted where ghost leads to ghost and beyond.,Horror,haunted ghost,Greta Gerwig,Michael Fassbender Tom Hanks Will Smith,1999,6.5,118,1384202.0,762385592.0
224,The Secret Connection,The story follows a hero dealing with emotional while facing emotional and emotional.,Crime Drama,corruption heist character study emotional,Ridley Scott,Tom Hanks Christian Bale Scarlett Johansson Emma Stone,2000,4.8,176,,1686029557.0
225,Future Dark,"When future meets future, they must overcome robots to save the day.",Science Fiction,future robots,Quentin Tarantino,Angelina Jolie Michael Fassbender Leonardo DiCaprio Amy Adams,2020,9.0,145,,1370699176.0
226,The Silent Story,An epic tale of corruption featuring twist and unexpected police.,Mystery Crime,corruption twist police puzzle,Paul Thomas Anderson,Leonardo DiCaprio Christian Bale Ryan Gosling Amy Adams Natalie Portman,2021,5.5,92,157613909.0,
227,The Wild Prophecy,A thrilling story about heartbreak and dating in a world of dating.,Fantasy Romance History,prophecy dating heartbreak revolution magic,Chloé Zhao,Tom Hanks Will Smith Cate Blanchett Margot Robbie Matt Damon Robert Downey Jr.,2004,5.9,138,58269025.0,
228,The Shadow Romance,The story follows a hero dealing with fear while facing heartbreak and wedding.,Romance Horror Documentary,nature heartbreak truth wedding scary,Steven Spielberg,Michael Fassbender Brad Pitt Ryan Gosling Emma Stone,2001,3.6,121,192834903.0,1594906814.0
229,Moments of Silent,A thrilling story about prophecy and coming of age in a world of supernatural.,Drama Fantasy Crime,character study supernatural coming of age murder prophecy,Ridley Scott,Christian Bale Brad Pitt Robert Downey Jr. Margot Robbie Jennifer Lawrence,2020,5.2,80,104358555.0,221139692.0
230,Love in Wild,A journey through relationship where weapons leads to relationship and beyond.,Romance Action,heartbreak villain weapons relationship,Steven Spielberg,Ryan Gosling Leonardo DiCaprio Jennifer Lawrence Amy Adams,2000,8.3,96,,711815036.0
231,The Wild Story,A journey through quest where quest leads to murder and beyond.,Mystery Crime Adventure,journey murder unknown corruption investigation,Jordan Peele,Brad Pitt Amy Adams Scarlett Johansson,2017,3.1,167,14600186.0,1923980405.0
232,2084: Ancient,"When time travel meets ghost, they must overcome journey to save the day.",Science Fiction Adventure Horror,fear technology discovery ghost time travel,Chloé Zhao,Meryl Streep Margot Robbie Ryan Gosling Matt Damon Cate Blanchett,1999,5.2,111,,
233,Silver Happens,A journey through explosion where humor leads to explosion and beyond.,Comedy Action,humor romantic comedy explosion rescue,Ryan Coogler,Jennifer Lawrence Cate Blanchett Margot Robbie,2023,7.9,172,127821818.0,
234,Victory at Dark,An epic tale of ghost featuring detective and unexpected soldiers.,War Horror Crime,battle corruption monster ghost soldiers,Martin Scorsese,Lupita Nyong'o Meryl Streep Christian Bale Emma Stone Ryan Gosling,2018,4.2,126,56283093.0,236911240.0
235,Dark Files,"When criminal meets heist, they must overcome heist to save the day.",Crime,heist criminal,Jordan Peele,Christian Bale Leonardo DiCaprio Lupita Nyong'o Matt Damon Tom Hanks Emma Stone,1996,9.0,107,73243035.0,772773705.0
236,The Golden Story,The story follows a hero dealing with strategy while facing war and revolution.,History War,strategy revolution war battle,Greta Gerwig,Michael Fassbender Angelina Jolie Leonardo DiCaprio Christian Bale Jennifer Lawrence Oscar Isaac,1990,7.4,119,104303135.0,1803719592.0
237,The Silent Game,An epic tale of edge featuring edge and unexpected dragons.,Thriller Action Fantasy,combat dragons weapons medieval tension,Wes Anderson,Christian Bale Lupita Nyong'o Ryan Gosling Jennifer Lawrence Will Smith Meryl Streep,2018,5.6,158,135975771.0,518283282.0
238,The Golden Campaign,A journey through strategy where strategy leads to soldiers and beyond.,War,soldiers strategy,Greta Gerwig,Emma Stone Margot Robbie Angelina Jolie Leonardo DiCaprio Tom Hanks Cate Blanchett,1998,5.1,109,90416427.0,324794891.0
239,2084: Silver,The story follows a hero dealing with dystopia while facing ghost and dystopia.,Science Fiction Horror History,ghost space biography ancient monster,James Cameron,Lupita Nyong'o Robert Downey Jr. Emma Stone,2009,5.2,97,150808838.0,245351791.0
240,The Golden Adventure,The story follows a hero dealing with family while facing psychological and family.,Animation Western Thriller,psychological family gunfight cowboys tension,Ryan Coogler,Ryan Gosling Matt Damon Angelina Jolie Oscar Isaac,2000,6.7,85,104767982.0,750783627.0
241,The Bright Adventure,The story follows a hero dealing with colorful while facing colorful and fairy tale.,Animation,fairy tale colorful,Ari Aster,Matt Damon Margot Robbie Emma Stone Will Smith,2022,6.7,125,182247887.0,1409486186.0
242,Victory at Shadow,The story follows a hero dealing with sacrifice while facing battle and sacrifice.,War,sacrifice battle,Paul Thomas Anderson,Meryl Streep Leonardo DiCaprio Cate Blanchett,2015,6.3,146,,1179574912.0
243,Wildland,"When nature meets gunfight, they must overcome colorful to save the day.",Animation Western Documentary,truth colorful family sheriff gunfight,Paul Thomas Anderson,Christian Bale Tom Hanks Oscar Isaac Michael Fassbender Cate Blanchett Jennifer Lawrence,1994,4.4,101,153764322.0,1882690503.0
